Sean Combs	Diddy
Sean Combs	P. Diddy
Gordon Moore	Gordon E. Moore
Iman	Iman Mohamed Abdulmajid
Édouard-Jean Empain	Edouard-Jean Empain
Édouard Michelin (born 1963)	Edouard Michelin (born 1963)
Liliane Bettencourt	Liliane de Bettencourt
Liliane Bettencourt	Liliane Henriette Charlotte Schueller
Emperor Norton	Joshua Abraham Norton
Emperor Norton	Norton I
Jeff Bezos	Jeffrey Preston "Jeff" Bezos
Charles Rolls	Charles Stewart Rolls
Maurice Saatchi, Baron Saatchi	Maurice Nathan Saatchi, Baron Saatchi
Gabe Newell	Gaben
Gabe Newell	Gabe Logan Newell
Gabe Newell	Rabscuttle
Dick Clark	Richard Augustus Wagstaff Clark, Jr.
Eldridge R. Johnson	Eldridge Reeves Johnson
Eldridge R. Johnson	Eldridge Johnson
Eldridge R. Johnson	Eldridge R Johnson
Dhirubhai Ambani	Dhirajlal Hirachand Amban
Jared Leto	Bartholomew Cubbins
Jared Leto	Angakok Panipaq
Charles Ferguson	Charles H. Ferguson
Charles Ferguson	Charles Henry Ferguson
Angus Ogilvy	Sir Angus James Bruce Ogilvy
John DeLorean	John Zachary DeLorean
John DeLorean	John Z. DeLorean
Anni Schaad	Anni Lang
Anni Schaad	Langani
Anni Schaad	Anni Lang Schaad
Gil Amelio	Gilbert Frank Amelio
Gil Amelio	Gil
Robert Bigelow	Robert T. Bigelow
J. C. Jacobsen	Jacob Christian Jacobsen
Bono	Paul Hewson
Bono	Paul David Hewson
Christian Davies	Christian Cavanagh
Christian Davies	Kit Cavanagh
Christian Davies	Mother Ross
Tom Anderson	Thomas Anderson
Joseph McGrath	Joseph Laurence McGrath
John Paul Getty III	Paul Getty
Juan March	Juan March Ordinas
Juan March	Joan March
Juan March	Juan March i Ordinas
Phillip Terry	Frederick Henry Kormann
Abdullah bin Nasser bin Abdullah Al Ahmed Al Thani	Sheikh Abdullah
Joko Widodo	Jokowi
Theodore Roosevelt, Sr.	Theodore Roosevelt
John Studebaker	John Mohler Studebaker
Walter Flanders	Walter Emmett Flanders
James Tien	Tien Pei-chun
Isabella Löwengrip	Blondinbella
Mahafarid Amir Khosravi	Amir Mansour Aria
David Dickinson	David Gulesserian
Evelin Banev	Evelin Banev
Gary C. Kelly	Gary Kelly
Michael Federmann	Mikey
Stav Prodromou	Stavro Evangelo Prodromou
Stav Prodromou	Σταύρο Εύαγγελο Προδρομου
Tom Wolf	Thomas W. Wolf
Tom Wolf	Thomas Wolf
Tom Wolf	Thomas Westerman Wolf
Walter Briggs, Sr.	Walter Owen Briggs, Sr.
Lei, Jun	Lei Jun
Ellen Hollond	Ellen Julia Hollond
Ellen Hollond	Ellen Teed
Evan Spiegel	Evan Thomas Spiegel
Christiana Carteaux Bannister	Madame Carteaux
Jimmy Wales	Jimbo Wales
Jimmy Wales	Jimmy Donal Wales
Jimmy Wales	Jimbo
Jimmy Wales	Wales, Jimmy
Jenna Jameson	Jennifer Marie Massoli
Jenna Jameson	Jenna Marie Massoli
Jackie Stewart	Sir Jackie Stewart
Thomas Edison	Thomas Alva Edison
John Boehner	John A. Boehner
John Boehner	John Andrew Boehner
Henry Dunant	Jean Henri Dunant
Henry Dunant	Henri Dunant
Rudolf Diesel	Rudolf Christian Karl Diesel
Cecil Rhodes	Cecil John Rhodes
Ahn Cheol-soo	Charles Ahn
Donald Trump	Donald John Trump
Donald Trump	The Donald
Donald Trump	Donald John Trump Sr.
Donald Trump	Donald Trump Sr.
Ivan Glasenberg	Ivan Glazenberg
George H. W. Bush	George H.W Bush
George H. W. Bush	G. H. Bush
George H. W. Bush	Daddy Bush
George H. W. Bush	George Bush Sr.
George H. W. Bush	41st President of the United States
George H. W. Bush	GHW Bush
George H. W. Bush	George Bush
George H. W. Bush	George H.W.
George H. W. Bush	G.H.W. Bush
George H. W. Bush	George the Older
George H. W. Bush	GHWB
George H. W. Bush	Poppy Bush
George H. W. Bush	George H.W.Bush
George H. W. Bush	George H. W
George H. W. Bush	Bush I
George H. W. Bush	Papa Bush
George H. W. Bush	George H W
George H. W. Bush	George Herbert Bush
George H. W. Bush	George H. W.
George H. W. Bush	H W Bush
George H. W. Bush	George Bush Snr.
George H. W. Bush	George H. Bush
George H. W. Bush	Vice President Bush
George H. W. Bush	H. W. Bush
George H. W. Bush	G. H. W. Bush
George H. W. Bush	Herbert Walker Bush
George H. W. Bush	George H Bush
George H. W. Bush	Bush Sr.
George H. W. Bush	G H W Bush
George H. W. Bush	President Bush
